#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
27741,32.3531,91.2631,282,27740,0.030193,0.05,1,1786,1504,282
30661,31.309,82.8552,282,29200,0.0381737,0.07,1,1810,1528,282
33581,30.3953,75.4983,282,30660,0.0473563,0.07,1,1834,1552,282
36501,37.8459,66.061,372,32120,0.0456207,0,1,1924,1552,372
39421,36.1152,75.0534,258,27740,0.0410586,0.03,1,1948,1690,258
42341,34.6008,68.6717,258,27740,0.0369528,0.03,1,1972,1714,258
45261,33.2757,60.0878,282,27740,0.0342575,0.05,1,1996,1714,282
48181,32.1162,55.5768,282,27740,0.0318317,0.07,1,2020,1738,282
51101,31.1017,51.6297,282,27740,0.0296486,0.07,1,2044,1762,282
54021,30.214,45.176,306,27740,0.0276837,0.09,1,2068,1762,306
56941,29.4372,42.529,306,27740,0.0259153,0.11,1,2092,1786,306
59861,28.7576,40.2129,306,27740,0.0243238,0.11,1,2116,1810,306
62781,28.1629,35.1863,330,27740,0.0228914,0.13,1,2140,1810,330
65701,27.6425,33.788,330,27740,0.0216023,0,1,2164,1834,330
68621,29.4372,43.8145,258,27740,0.0194421,0,1,2206,1948,258
71541,28.7576,41.3377,258,27740,0.0184978,0.01,1,2230,1972,258
74461,28.1629,39.1705,258,27740,0.0176481,0.01,1,2254,1996,258
77381,27.6425,37.2742,258,27740,0.0168833,0.01,1,2278,2020,258
80301,27.1872,35.6149,258,27740,0.0161949,0.01,1,2302,2044,258
83221,26.7888,34.163,258,27740,0.0155754,0.01,1,2326,2068,258
86141,26.4402,32.8926,258,27740,0.0150179,0.01,1,2350,2092,258
89061,26.1352,31.7811,258,27740,0.0145161,0.01,1,2374,2116,258
91981,25.8683,30.8084,258,27740,0.0140645,0.01,1,2398,2140,258
94901,27.8847,29.9574,276,27740,0.012658,0,1,2440,2164,276
97821,27.3991,31.4627,258,27740,0.0123922,0.01,1,2464,2206,258
100741,26.9743,30.5299,258,27740,0.012153,0.01,1,2488,2230,258
103661,26.6025,29.7136,258,27740,0.0119377,0.01,1,2512,2254,258
106581,26.2772,28.9994,258,27740,0.0107439,0.01,1,2536,2278,258
109501,25.9925,28.3745,258,27740,0.00966955,0.01,1,2560,2302,258
112421,25.7435,27.8277,258,27740,0.00870259,0.01,1,2584,2326,258
115341,25.5255,27.3492,258,27740,0.00783233,0.01,1,2608,2350,258
118261,25.3348,26.9306,258,27740,0.0070491,0.01,1,2632,2374,258
121181,27.418,26.5643,276,27740,0.00634419,0,1,2674,2398,276
124101,26.9907,28.4937,258,27740,0.00570977,0.01,1,2698,2440,258
127021,26.6169,27.932,258,27740,0.00513879,0.01,1,2722,2464,258
129941,26.2898,27.4405,258,27740,0.00462492,0.01,1,2746,2488,258
131041,49.1286,27.0104,443,27740,0.00416242,0,1,2955,2512,443
133961,11732.4,11737.6,246,27740,0.00374618,0,1,96470,96224,246
136881,10268.8,10270.4,270,27816,0.00437156,0,1,96494,96224,270
139801,8988.22,8986.63,294,27816,0.00493441,0,1,96518,96224,294
142721,7867.69,7863.3,318,27816,0.00544097,0,1,96542,96224,318
145641,6887.23,6880.39,342,27816,0.00589687,0,1,96566,96224,342
148561,6029.32,6020.34,366,27816,0.00630718,0,1,96590,96224,366
151481,5278.66,5267.8,390,27816,0.00667646,0,1,96614,96224,390
154401,4621.83,4609.32,414,27816,0.00700882,0,1,96638,96224,414
157321,4047.1,4033.16,438,27816,0.00730794,0,1,96662,96224,438
160241,3546.46,3529.01,480,27816,0.00657714,0,1,96704,96224,480
163161,3106.15,3118.63,258,27816,0.00691943,0.01,1,96728,96470,258
166081,2720.88,2731.81,258,27816,0.00722749,0.01,1,96752,96494,258
169001,2383.77,2393.33,258,27816,0.00750474,0.01,1,96776,96518,258
171921,2088.8,2097.16,258,27816,0.00775426,0.01,1,96800,96542,258
174841,1830.7,1838.02,258,27816,0.00797884,0.01,1,96824,96566,258
177761,1604.86,1611.27,258,27816,0.00818095,0.01,1,96848,96590,258
180681,1407.26,1412.86,258,27816,0.00836286,0.01,1,96872,96614,258
183601,1234.35,1239.25,258,27816,0.00852657,0.01,1,96896,96638,258
186521,1085.31,1087.34,276,27816,0.00767392,0,1,96938,96662,276
189441,952.642,956.676,258,26280,0.00690652,0.01,1,96962,96704,258
192361,836.562,840.092,258,26280,0.00721587,0.01,1,96986,96728,258
